id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1277300899019476992,1277300899019476992,2020-06-28 14:00:40 Eastern Daylight Time,2020-06-28,14:00:40,-0500,361289499,bitcoinmagazine,Bitcoin Magazine,,No-coiners trying to ignore our celebrations when Bitcoin hits $100k  https://t.co/4HdPbVibaF,en,[],[],[],58,159,824,[],[],https://twitter.com/BitcoinMagazine/status/1277300899019476992,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1277300090844196865/pu/img/y2qLiG4-uUc1YcLK.jpg,,,,,,,[],,,,
1277280000203304960,1277280000203304960,2020-06-28 12:37:37 Eastern Daylight Time,2020-06-28,12:37:37,-0500,1540951016,malwaretechblog,Marcus Hutchins,,"First post i clicked on today was about the price of gold and the top comment was ""bitcoin is backed by electricity, gold isn't backed by anything"". Honestly, I think I may just go back to sleep.",en,[],[],[],29,140,1323,[],[],https://twitter.com/MalwareTechBlog/status/1277280000203304960,False,,0,,,,,,,,[],,,,
1277264687122411521,1277264687122411521,2020-06-28 11:36:46 Eastern Daylight Time,2020-06-28,11:36:46,-0500,29856819,therealkiyosaki,therealkiyosaki,,"FED is Ded. Loans to Zombie CEOs cannot be paid back. In 2020 Zombies owe $900 billion with decling income. By 2021 Zombie debt to pass $1.6 trillion. Got gold, silver, Bitcoin? “Accept what ever comes to you woven in the tapestry of your destiny.” Marcus Aurelius. Take care.",en,[],[],[],111,565,2555,[],[],https://twitter.com/theRealKiyosaki/status/1277264687122411521,False,,0,,,,,,,,[],,,,
1277247041295527936,1277247041295527936,2020-06-28 10:26:39 Eastern Daylight Time,2020-06-28,10:26:39,-0500,17351167,scottmelker,The Wolf Of All Streets,,"Grayscale is buying far more Bitcoin than is even being mined, but people still say that there is ""no new money coming into the market.""",en,[],[],[],113,165,1238,[],[],https://twitter.com/scottmelker/status/1277247041295527936,False,,0,,,,,,,,[],,,,
1277225336489607168,1277225336489607168,2020-06-28 09:00:24 Eastern Daylight Time,2020-06-28,09:00:24,-0500,1598709350,danheld,Dan Held,,61% of Bitcoin hasn't moved in over a year.   That's an all-time high.  https://t.co/q9oYHYXdbc,en,[],[],['https://pbs.twimg.com/media/EbmdrMyXQAMZKgJ.jpg'],167,455,1986,[],[],https://twitter.com/danheld/status/1277225336489607168,False,,1,https://pbs.twimg.com/media/EbmdrMyXQAMZKgJ.jpg,,,,,,,[],,,,
1277163427643850752,1277163427643850752,2020-06-28 04:54:24 Eastern Daylight Time,2020-06-28,04:54:24,-0500,4137926120,cryptanzee,CryptoChimp,,#Bitcoin Eternal Range  https://t.co/3fG4DRNPFC,fr,[],[],[],158,994,4415,['bitcoin'],[],https://twitter.com/Cryptanzee/status/1277163427643850752,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1277163264661569536/pu/img/sg_KbWprjQ9q-OFS.jpg,,,,,,,[],,,,
1276923650432696322,1276923650432696322,2020-06-27 13:01:37 Eastern Daylight Time,2020-06-27,13:01:37,-0500,361289499,bitcoinmagazine,Bitcoin Magazine,,Bash #Bitcoin and pay the price one way or another.   Tick tock tick tock...  https://t.co/vQDGkfSoKD,en,[],[],['https://pbs.twimg.com/media/EbiLSw5XQAAHqqR.png'],50,307,1180,['bitcoin'],[],https://twitter.com/BitcoinMagazine/status/1276923650432696322,False,,1,https://pbs.twimg.com/media/EbiLSw5XQAAHqqR.png,,,,,,,[],,,,
1276895314050457600,1276895314050457600,2020-06-27 11:09:01 Eastern Daylight Time,2020-06-27,11:09:01,-0500,902282851499917312,forbescrypto,Forbes Crypto,,PayPal's potential move to enable bitcoin trading shouldn't come as much of a surprise given the increase in interest in cryptocurrency amid the pandemic:  https://t.co/AXsxOYHS2M by @donnabail,en,"[{'screen_name': 'donnabail', 'name': 'donna fuscaldo', 'id': '462368474'}]",['http://on.forbes.com/6015GOEGT'],[],21,213,581,[],[],https://twitter.com/ForbesCrypto/status/1276895314050457600,False,,0,,,,,,,,[],,,,
1276864313102225409,1276864313102225409,2020-06-27 09:05:49 Eastern Daylight Time,2020-06-27,09:05:49,-0500,1598709350,danheld,Dan Held,,Bitcoin at $9k-$10k feels just like when it was at $900-$1k.   HODL.,en,[],[],[],176,328,2518,[],[],https://twitter.com/danheld/status/1276864313102225409,False,,0,,,,,,,,[],,,,
1276843034353819652,1276843034353819652,2020-06-27 07:41:16 Eastern Daylight Time,2020-06-27,07:41:16,-0500,918804624303382528,100trillionusd,PlanB,,#Bitcoin is scarce (measured by S2F) and people value it in line with gold &amp; silver (in $)  BTC is also correlated &amp; cointegrated with S&amp;P500. S&amp;P 2x =BTC 416x (in $)  This can both be true! QE pumps stocks (cash flow) and BTC (scarcity): asset inflation in $. BTC$288K ~ S&amp;P$4300  https://t.co/Sgs0MBpCT2,en,[],[],"['https://pbs.twimg.com/media/Ebg4SC2XsAEr3KW.png', 'https://pbs.twimg.com/media/Ebg4Tj3XQAIYaB-.jpg']",55,197,932,['bitcoin'],[],https://twitter.com/100trillionUSD/status/1276843034353819652,False,,1,https://pbs.twimg.com/media/Ebg4SC2XsAEr3KW.png,,,,,,,[],,,,
1276840377991827457,1276840377991827457,2020-06-27 07:30:43 Eastern Daylight Time,2020-06-27,07:30:43,-0500,13418472,woonomic,Willy Woo,,"This is a new model I'm working on, it picks the start of exponential bull runs.  1) Bitcoin was setting up for a bullish run until the COVID white swan killed the party.   2) This model suggests we are close to another bullish run. Maybe another month to go.  https://t.co/wmoEdMVywF",en,[],[],['https://pbs.twimg.com/media/Ebg5-81VAAEdTNP.jpg'],131,388,1689,[],[],https://twitter.com/woonomic/status/1276840377991827457,False,,1,https://pbs.twimg.com/media/Ebg5-81VAAEdTNP.jpg,,,,,,,[],,,,
