,Word,Frequency
0,I’m #Bullish on,1
1,#Bullish on #Bitcoin.,1
2,on #Bitcoin. Even,1
3,#Bitcoin. Even more,1
4,Even more bullish,1
5,more bullish on,1
6,bullish on $ETH.,1
7,on $ETH. I,1
8,$ETH. I like,1
9,I like nice,1
10,like nice things.,1
11,Dramatization of China,1
12,of China banning,1
13,China banning #Bitcoin,1
14,banning #Bitcoin mining,1
15,#Bitcoin mining https://t.co/VXV4LZ8Gak,1
16,When Bitcoin gets,1
17,Bitcoin gets to,1
18,gets to $250k,1
19,to $250k you,1
20,$250k you won’t,1
21,you won’t even,1
22,won’t even remember,1
23,even remember whether,1
24,remember whether your,1
25,whether your paid,1
26,"your paid $34k,",1
27,"paid $34k, $29k",1
28,"$34k, $29k or",1
29,$29k or $32k!,1
30,My first time,1
31,first time buying,1
32,time buying btc,1
33,buying btc was,1
34,"btc was 20k,",1
35,"was 20k, I",1
36,"20k, I kept",1
37,I kept buying,2
38,kept buying all,1
39,buying all the,1
40,all the way,1
41,the way down,1
42,way down to,1
43,down to 3500.,1
44,to 3500. It,1
45,3500. It stayed,1
46,It stayed under,1
47,stayed under 10k,1
48,under 10k for,1
49,10k for the,1
50,for the next,1
51,the next 4,1
52,next 4 years,1
53,4 years but,1
54,years but I,1
55,but I kept,1
56,kept buying every,1
57,buying every check,1
58,every check nomatter,1
59,check nomatter what,1
60,nomatter what the,1
61,what the price,1
62,"the price was,",1
63,"price was, The",1
64,"was, The way",1
65,The way you,1
66,way you win,2
67,you win in,1
68,win in #bitcoin,1
69,in #bitcoin isn't,1
70,#bitcoin isn't by,1
71,isn't by trading,1
72,"by trading it,",1
73,"trading it, the",1
74,"it, the way",1
75,the way you,1
76,you win is,1
77,win is by,1
78,is by having,1
79,by having unbreakable,1
80,having unbreakable conviction.,1
81,If a hodler,1
82,a hodler dies,1
83,hodler dies and,1
84,dies and their,1
85,and their Bitcoin,1
86,their Bitcoin is,1
87,Bitcoin is lost.,1
88,is lost. Something,1
89,lost. Something interesting,1
90,Something interesting happens.,1
91,interesting happens. That,1
92,happens. That Hodlers,1
93,That Hodlers time,1
94,Hodlers time and,1
95,time and energy,1
96,and energy is,1
97,energy is not,1
98,is not lost,1
99,not lost The,1
100,lost The value,1
101,The value of,1
102,value of their,1
103,"of their life,",1
104,"their life, transfers",1
105,"life, transfers to",1
106,transfers to the,1
107,to the rest,1
108,the rest of,1
109,rest of the,1
110,of the network,1
111,the network Every,1
112,network Every sat,1
113,Every sat you,1
114,sat you buy,1
115,you buy is,1
116,buy is a,1
117,is a piece,1
118,a piece of,1
119,piece of your,1
120,of your life,1
121,your life that,1
122,life that you,1
123,that you have,1
124,you have preserved,1
125,have preserved for,1
126,preserved for eternity,1
127,for eternity You,1
128,eternity You are,1
129,You are the,1
130,are the hill,1
131,J’ai juré que,1
132,juré que c’est,1
133,que c’est pas,1
134,c’est pas mérité,1
135,pas mérité on,1
136,mérité on a,1
137,on a tous,1
138,a tous envie,1
139,tous envie de,1
140,envie de chier,1
141,de chier pendant,1
142,chier pendant que,1
143,pendant que les,1
144,que les Suisses,1
145,les Suisses en,1
146,Suisses en ont,1
147,en ont absolument,1
148,ont absolument rien,1
149,absolument rien a,1
150,rien a foutre,1
151,a foutre du,1
152,foutre du foot,1
153,du foot y,1
154,foot y tweet,1
155,y tweet sur,1
156,tweet sur le,1
157,sur le bitcoin,1
158,Today Cathie Wood’s,1
159,Cathie Wood’s ARK,1
160,Wood’s ARK Invest,1
161,ARK Invest filed,1
162,Invest filed with,1
163,filed with the,1
164,with the Securities,1
165,the Securities and,1
166,Securities and Exchange,1
167,and Exchange Commission,1
168,Exchange Commission to,1
169,Commission to create,1
170,to create a,2
171,create a #bitcoin,1
172,a #bitcoin exchange-traded,1
173,#bitcoin exchange-traded fund.,1
174,exchange-traded fund. (ETF),1
175,fund. (ETF) https://t.co/Mw9eQL2S41,1
176,Bears focusing on,1
177,focusing on Tether's,1
178,on Tether's impact,1
179,Tether's impact on,1
180,impact on bitcoin,1
181,on bitcoin over,1
182,bitcoin over the,3
183,over the past,1
184,the past year,1
185,past year would,1
186,year would have,1
187,would have probably,1
188,have probably done,1
189,probably done better,1
190,done better to,1
191,better to focus,1
192,to focus on,1
193,focus on the,1
194,on the Grayscale,1
195,the Grayscale neutral,1
196,Grayscale neutral arbitrage,1
197,neutral arbitrage trade,1
198,arbitrage trade instead.,1
199,trade instead. When,1
200,instead. When new,1
201,When new competition,1
202,new competition resulted,1
203,competition resulted in,1
204,resulted in the,1
205,in the market,1
206,the market taking,1
207,market taking away,1
208,taking away GBTC's,1
209,away GBTC's premium,1
210,GBTC's premium to,1
211,"premium to NAV,",1
212,"to NAV, the",1
213,"NAV, the biggest",1
214,the biggest bitcoin,1
215,biggest bitcoin buyer,1
216,bitcoin buyer stopped,1
217,buyer stopped buying.,1
218,stopped buying. https://t.co/RoAarfw58N,1
219,El Salvador's 🇸🇻,1
220,Salvador's 🇸🇻 #Bitcoin,1
221,"🇸🇻 #Bitcoin wallet,",1
222,"#Bitcoin wallet, Chivo,",1
223,"wallet, Chivo, will",1
224,"Chivo, will be",1
225,will be completely,1
226,be completely free,1
227,completely free to,1
228,free to use.,1
229,to use. There,1
230,use. There are,1
231,There are no,1
232,are no commissions,1
233,no commissions to,1
234,commissions to send,1
235,to send or,1
236,send or receive,1
237,"or receive remittances,",1
238,"receive remittances, to",1
