,Word,Frequency
0,I’m,3
1,#Bullish,1
2,on,37
3,#Bitcoin.,3
4,Even,2
5,more,12
6,bullish,1
7,$ETH.,1
8,I,31
9,like,6
10,nice,1
11,things.,1
12,Dramatization,1
13,of,75
14,China,8
15,banning,1
16,#Bitcoin,95
17,mining,10
18,https://t.co/VXV4LZ8Gak,1
19,When,4
20,Bitcoin,36
21,gets,1
22,to,155
23,$250k,1
24,you,47
25,won’t,1
26,even,4
27,remember,1
28,whether,2
29,your,8
30,paid,1
31,"$34k,",1
32,$29k,1
33,or,10
34,$32k!,1
35,My,3
36,first,11
37,time,9
38,buying,5
39,btc,1
40,was,7
41,"20k,",1
42,kept,2
43,all,14
44,the,147
45,way,8
46,down,2
47,3500.,1
48,It,6
49,stayed,1
50,under,2
51,10k,1
52,for,32
53,next,6
54,4,3
55,years,4
56,but,8
57,every,4
58,check,1
59,nomatter,1
60,what,7
61,price,6
62,"was,",1
63,The,27
64,win,3
65,in,73
66,#bitcoin,38
67,isn't,3
68,by,14
69,trading,3
70,"it,",1
71,is,79
72,having,2
73,unbreakable,1
74,conviction.,2
75,If,16
76,a,89
77,hodler,1
78,dies,1
79,and,84
80,their,11
81,lost.,1
82,Something,1
83,interesting,1
84,happens.,1
85,That,1
86,Hodlers,1
87,energy,6
88,not,9
89,lost,2
90,value,3
91,"life,",1
92,transfers,1
93,rest,1
94,network,6
95,Every,1
96,sat,2
97,buy,12
98,piece,2
99,life,1
100,that,30
101,have,14
102,preserved,1
103,eternity,1
104,You,5
105,are,25
106,hill,1
107,J’ai,1
108,juré,1
109,que,11
110,c’est,1
111,pas,1
112,mérité,1
113,tous,1
114,envie,1
115,de,31
116,chier,1
117,pendant,1
118,les,1
119,Suisses,1
120,en,23
121,ont,1
122,absolument,1
123,rien,1
124,foutre,1
125,du,1
126,foot,1
127,y,20
128,tweet,1
129,sur,1
130,le,2
131,bitcoin,24
132,Today,4
133,Cathie,1
134,Wood’s,1
135,ARK,5
136,Invest,5
137,filed,3
138,with,23
139,Securities,1
140,Exchange,2
141,Commission,1
142,create,2
143,exchange-traded,1
144,fund.,1
145,(ETF),1
146,https://t.co/Mw9eQL2S41,1
147,Bears,1
148,focusing,1
149,Tether's,1
150,impact,1
151,over,7
152,past,5
153,year,4
154,would,5
155,probably,1
156,done,2
157,better,3
158,focus,1
159,Grayscale,5
160,neutral,1
161,arbitrage,1
162,trade,2
163,instead.,1
164,new,8
165,competition,1
166,resulted,1
167,market,8
168,taking,2
169,away,2
170,GBTC's,1
171,premium,1
172,"NAV,",1
173,biggest,3
174,buyer,1
175,stopped,2
176,buying.,1
177,https://t.co/RoAarfw58N,1
178,El,12
179,Salvador's,1
180,🇸🇻,6
181,"wallet,",1
182,"Chivo,",2
183,will,24
184,be,36
185,completely,2
186,free,3
187,use.,1
188,There,3
189,no,10
190,commissions,1
191,send,2
192,receive,2
193,"remittances,",1
194,make,5
195,"payments,",1
196,convert,1
197,dollars,1
198,vice,1
199,"versa.""",1
200,says,4
201,@NayibBukele.,1
202,https://t.co/YYyYxzVsFZ,1
203,has,13
204,ETF.,1
205,https://t.co/ZtXLjEaKhF,1
206,Bank,2
207,Mexico,7
208,just,11
209,released,1
210,statement,1
211,warning,1
212,any,2
213,banks,5
214,accept,7
215,could,4
216,face,1
217,penalties.,1
218,Central,2
219,Banks,2
220,hate,1
221,progress.,1
222,https://t.co/sDzxSEvjKT,1
223,*CATHIE,1
224,WOOD’S,1
225,INVEST,1
226,FILES,1
227,TO,1
228,CREATE,1
229,A,3
230,BITCOIN,2
231,ETF:,1
232,CNBC,2
233,ETF,4
234,(with,1
235,21Shares).,2
236,This,10
237,12th,1
238,#BTC,6
239,filing.,1
240,-,30
241,@EricBalchunas,1
242,BOOM:,1
243,files,1
244,(in,1
245,collab,1
246,filing,2
247,#12.,1
248,https://t.co/iaWAdSo9v1,1
249,All,3
250,fiat,6
251,based,1
252,assets,2
253,ultimately,1
254,secured,1
255,same,2
256,legal,2
257,system,6
258,today,3
259,made,1
260,it,20
261,illegal,1
262,me,14
263,host,1
264,whitepaper,2
265,because,8
266,notorious,1
267,liar,1
268,swore,1
269,before,2
270,judge,2
271,he's,1
272,Satoshi.,1
273,where,5
274,'justice',1
275,depends,1
276,who's,1
277,got,2
278,bigger,1
279,wallet.,1
280,Market,1
281,"crashing,",1
282,it's,4
283,inexperienced,1
284,users,3
285,panic,2
286,selling.,1
287,Smart,2
288,people,15
289,hold,3
290,"more,",1
291,hold💪✌🏾💯,1
292,Novice,1
293,"Crypto,",1
