,Time,User,Retweets,Likes,Tweet
0,2022-01-08 22:44:26+00:00,nayibbukele,4289,21289,"b'Ok, ID-10t, I\xe2\x80\x99m going to school you again, not because it\xe2\x80\x99s going to be of use for you, since you\xe2\x80\x99re just getting p\xe2\x80\xa6 https://t.co/XpWNUhNF1U'"
1,2022-01-08 21:50:08+00:00,BitcoinMagazine,1253,4802,b'Milton Friedman predicting #Bitcoin back in 1999.  https://t.co/geUoDG9789'
2,2022-01-08 19:22:06+00:00,crypto_birb,715,3362,"b'Since bottoming out in the depths of 2018 depression, $BTC has only seen this oversold indicators only four times a\xe2\x80\xa6 https://t.co/6UlIn4rkIM'"
3,2022-01-08 18:30:35+00:00,BarrySilbert,664,8155,b'So. much. money. patiently waiting to BTFD in bitcoin'
4,2022-01-08 21:13:37+00:00,HaileyLennonBTC,470,4598,"b'I\xe2\x80\x99m not in bitcoin for the money, I\xe2\x80\x99m in it for the revolution'"
5,2022-01-08 20:32:57+00:00,Jayecane,754,743,"b'rt fast + post your cashapp, PayPal, #Bitcoin, #shib wallet, #ETH wallet'"
6,2022-01-08 15:12:36+00:00,BitcoinMagazine,2146,8316,b'\xf0\x9f\x98\x82 #Bitcoin  https://t.co/VpaOl7vbcZ'
7,2022-01-08 18:46:00+00:00,garciabanchs,284,768,b'No me cansar\xc3\xa9 de alertar.\n\nEs mi deber profesional.\n\n#Bitcoin es un fraude y va para 0.'
8,2022-01-08 23:20:13+00:00,PeterLBrandt,276,2810,b'Ounces of Gold to buy one Bitcoin https://t.co/VeS3Z54lJA https://t.co/WYVPLBQ37U'
9,2022-01-08 21:44:00+00:00,steve_hanke,206,513,"b'In #ElSalvador, @nayibbukele has blown hundreds of millions in public funds on Bitcoin, the Chivo wallet still does\xe2\x80\xa6 https://t.co/nILk3MTvCt'"
10,2022-01-08 17:40:15+00:00,danheld,418,4717,b'You said you were going to buy the dip. \n\nWell now it\xe2\x80\x99s here.\n\nDid you buy? \n\nYou probably didn\xe2\x80\x99t. But you will when Bitcoin goes back up.\xf0\x9f\x98\x8f'
11,2022-01-08 17:35:21+00:00,WatcherGuru,490,2419,b'\xe2\x80\xa2 2013: \xe2\x80\x9c#Bitcoin is a scam\xe2\x80\x9d \n\xe2\x80\xa2 2015: \xe2\x80\x9c#Blockchains are a scam\xe2\x80\x9d \n\xe2\x80\xa2 2016: \xe2\x80\x9c#Crypto is a scam\xe2\x80\x9d \n\xe2\x80\xa2 2017: \xe2\x80\x9cTokens are a\xe2\x80\xa6 https://t.co/roHxM2jANX'
12,2022-01-08 17:37:25+00:00,BitcoinMagazine,457,2345,b'#Bitcoin is power to the people \xe2\x9c\x8a https://t.co/hhpQQ2Kyk7'
13,2022-01-08 19:36:25+00:00,PeterSchiff,226,1670,"b""Don't wait for the bubble to deflate completely before recognizing what it was. Just open your eyes and your mind a\xe2\x80\xa6 https://t.co/vbTEHCVuEe"""
14,2022-01-08 19:29:52+00:00,CoinMarketCap,424,1585,b'A Live Look At Everyone Predicting The EOY #Bitcoin Price in 2021 \xf0\x9f\x98\x82 https://t.co/iLRvyydkSf'
