id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1409659546612637699,1409659546612637699,2021-06-28 19:46:40 EDT,2021-06-28,19:46:40,-0500,954005112174862336,bitboy_crypto,Ben Armstrong,,I’m #Bullish on #Bitcoin.  Even more bullish on $ETH.  I like nice things.,en,[],[],[],308,259,3446,"['bullish', 'bitcoin']",['eth'],https://twitter.com/Bitboy_Crypto/status/1409659546612637699,False,,0,,,,,,,,[],,,,
1409646286718967809,1409646286718967809,2021-06-28 18:53:59 EDT,2021-06-28,18:53:59,-0500,1329806640451784705,btcseeker21,Bob Loblaw,,Dramatization of China banning #Bitcoin mining  https://t.co/VXV4LZ8Gak,en,[],[],[],48,497,2272,['bitcoin'],[],https://twitter.com/BTCSeeker21/status/1409646286718967809,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1409646184109510664/pu/img/PkTofyuSJWsY8yCr.jpg,,,,,,,[],,,,
1409639904108113923,1409639904108113923,2021-06-28 18:28:37 EDT,2021-06-28,18:28:37,-0500,58487473,cryptomanran,Ran NeuNer,,"When Bitcoin gets to $250k you won’t even remember whether your paid $34k, $29k or $32k!",en,[],[],[],294,337,4203,[],[],https://twitter.com/cryptomanran/status/1409639904108113923,False,,0,,,,,,,,[],,,,
1409633451779661831,1409633451779661831,2021-06-28 18:02:59 EDT,2021-06-28,18:02:59,-0500,939226031336054784,emperor_bitcoin,Emperor bitcoin 💎👑,,"My first time buying btc was 20k, I kept buying all the way down to 3500.  It stayed under 10k for the next 4 years but I kept buying every check nomatter what the price was,  The way you win in #bitcoin isn't by trading it, the way you win is by having unbreakable conviction.",en,[],[],[],91,218,2207,['bitcoin'],[],https://twitter.com/Emperor_bitcoin/status/1409633451779661831,False,,0,,,,,,,,[],,,,
1409626607484952578,1409626607484952578,2021-06-28 17:35:47 EDT,2021-06-28,17:35:47,-0500,1224441209231249409,anthonydessauer,Anthony vonHodl 丰,,"If a hodler dies and their Bitcoin is lost.   Something interesting happens.   That Hodlers time and energy is not lost  The value of their life, transfers to the rest of the network  Every sat you buy is a piece of your life that you have preserved for eternity  You are the hill",en,[],[],[],74,171,1235,[],[],https://twitter.com/AnthonyDessauer/status/1409626607484952578,False,,0,,,,,,,,[],,,,
1409626373543628807,1409626373543628807,2021-06-28 17:34:51 EDT,2021-06-28,17:34:51,-0500,560803492,urbanlepharaon,Urban,,J’ai juré que c’est pas mérité on a tous envie de chier pendant que les Suisses en ont absolument rien a foutre du foot y tweet sur le bitcoin,fr,[],[],[],92,2580,23471,[],[],https://twitter.com/UrbanLePharaon/status/1409626373543628807,False,,0,,,,,,,,[],,,,
1409623644741963783,1409623644741963783,2021-06-28 17:24:01 EDT,2021-06-28,17:24:01,-0500,361289499,bitcoinmagazine,Bitcoin Magazine,,Today Cathie Wood’s ARK Invest filed with the Securities and Exchange Commission to create a #bitcoin exchange-traded fund. (ETF)  https://t.co/Mw9eQL2S41,en,[],[],['https://pbs.twimg.com/media/E4_9PEGXwAMWeW_.jpg'],87,422,2798,['bitcoin'],[],https://twitter.com/BitcoinMagazine/status/1409623644741963783,False,,1,https://pbs.twimg.com/media/E4_9PEGXwAMWeW_.jpg,,,,,,,[],,,,
1409623555806056449,1409623555806056449,2021-06-28 17:23:39 EDT,2021-06-28,17:23:39,-0500,823766058909761536,lynaldencontact,Lyn Alden,,"Bears focusing on Tether's impact on bitcoin over the  past year would have probably done better to focus on the Grayscale neutral arbitrage trade instead.  When new competition resulted in the market taking away GBTC's premium to NAV, the biggest bitcoin buyer stopped buying.  https://t.co/RoAarfw58N",en,[],[],['https://pbs.twimg.com/media/E4_5czVWQAAecRS.png'],114,395,2143,[],[],https://twitter.com/LynAldenContact/status/1409623555806056449,False,,1,https://pbs.twimg.com/media/E4_5czVWQAAecRS.png,,,,,,,[],,,,
1409622955294748673,1409622955294748673,2021-06-28 17:21:16 EDT,2021-06-28,17:21:16,-0500,1337780902680809474,documentingbtc,Documenting Bitcoin 📄,,"El Salvador's 🇸🇻 #Bitcoin wallet, Chivo, will be completely free to use.  There are no commissions to send or receive remittances, to make or receive payments, or even to convert bitcoin to dollars or vice versa."" says @NayibBukele.  https://t.co/YYyYxzVsFZ",en,"[{'screen_name': 'nayibbukele', 'name': 'nayib bukele 🇸🇻', 'id': '20736511'}]",[],"['https://pbs.twimg.com/media/E4_7v8gXEAcjoUV.jpg', 'https://pbs.twimg.com/media/E4_7yVTWEAcyBvt.jpg', 'https://pbs.twimg.com/media/E4_8mhbXwAUAcWj.jpg']",98,651,3597,['bitcoin'],[],https://twitter.com/DocumentingBTC/status/1409622955294748673,False,,1,https://pbs.twimg.com/media/E4_7v8gXEAcjoUV.jpg,,,,,,,[],,,,
1409621695279747089,1409621695279747089,2021-06-28 17:16:16 EDT,2021-06-28,17:16:16,-0500,1337780902680809474,documentingbtc,Documenting Bitcoin 📄,,ARK Invest has filed for a #Bitcoin ETF.  https://t.co/ZtXLjEaKhF,en,[],[],['https://pbs.twimg.com/media/E4_7Z2lXMAE1B4K.jpg'],146,1012,6410,['bitcoin'],[],https://twitter.com/DocumentingBTC/status/1409621695279747089,False,,1,https://pbs.twimg.com/media/E4_7Z2lXMAE1B4K.jpg,,,,,,,[],,,,
1409611030003699715,1409611030003699715,2021-06-28 16:33:53 EDT,2021-06-28,16:33:53,-0500,361289499,bitcoinmagazine,Bitcoin Magazine,,The Bank of Mexico just released a statement warning that any banks that accept #Bitcoin could face penalties.  Central Banks hate progress.  https://t.co/sDzxSEvjKT,en,[],[],['https://pbs.twimg.com/media/E4_xsWvXMAEVAOx.jpg'],181,217,1573,['bitcoin'],[],https://twitter.com/BitcoinMagazine/status/1409611030003699715,False,,1,https://pbs.twimg.com/media/E4_xsWvXMAEVAOx.jpg,,,,,,,[],,,,
1409609864507281411,1409609864507281411,2021-06-28 16:29:15 EDT,2021-06-28,16:29:15,-0500,2704294333,deitaone,*Walter Bloomberg,,*CATHIE WOOD’S ARK INVEST FILES TO CREATE A BITCOIN ETF: CNBC,en,[],[],[],77,343,2849,[],[],https://twitter.com/DeItaone/status/1409609864507281411,False,,0,,,,,,,,[],,,,
1409608380814090245,1409608380814090245,2021-06-28 16:23:21 EDT,2021-06-28,16:23:21,-0500,970994516357472257,btc_archive,Bitcoin Archive 🗄🚀🌔,,ARK Invest has filed for a #Bitcoin ETF (with 21Shares). This is the 12th #BTC ETF filing. - @EricBalchunas,en,"[{'screen_name': 'ericbalchunas', 'name': 'eric balchunas', 'id': '149571760'}]",[],[],43,261,2399,"['bitcoin', 'btc']",[],https://twitter.com/BTC_Archive/status/1409608380814090245,False,,0,,,,,,,,[],,,,
1409606711325888515,1409606711325888515,2021-06-28 16:16:43 EDT,2021-06-28,16:16:43,-0500,149571760,ericbalchunas,Eric Balchunas,,BOOM: ARK files for a bitcoin ETF (in collab with 21Shares). This would be bitcoin ETF filing #12.  https://t.co/iaWAdSo9v1,en,[],[],['https://pbs.twimg.com/media/E4_t1WsWUAALefA.png'],34,170,962,[],[],https://twitter.com/EricBalchunas/status/1409606711325888515,False,,1,https://pbs.twimg.com/media/E4_t1WsWUAALefA.png,,,,,,,[],,,,
1409605494629613571,1409605494629613571,2021-06-28 16:11:53 EDT,2021-06-28,16:11:53,-0500,919638257402548224,cobrabitcoin,Cøbra,,All your fiat based assets are ultimately secured by the same legal system that today made it illegal for me to host the Bitcoin whitepaper because a notorious liar swore before a judge that he's Satoshi. A system where 'justice' depends on who's got the bigger wallet.,en,[],[],[],148,463,2589,[],[],https://twitter.com/CobraBitcoin/status/1409605494629613571,False,,0,,,,,,,,[],,,,
1409603625341575173,1409603625341575173,2021-06-28 16:04:28 EDT,2021-06-28,16:04:28,-0500,978281201244000256,crypto_dealer1,CRYPTO DEALER,,"The Market isn't crashing, it's inexperienced users panic selling. Smart people will hold and buy more, just hold💪✌🏾💯 If you are Novice of Crypto, Join my tutorial classes on whatsapp👇👇  https://t.co/OefATTnTJs  /#TwitterBan / #Bitcoin / Korean / Erica / Burna / Embolo /  https://t.co/z08Ne14rlX",en,[],['https://chat.whatsapp.com/I0F710Fxa3h5ANhSxLaE2i'],"['https://pbs.twimg.com/media/E4_rBL3XEAMcR0J.jpg', 'https://pbs.twimg.com/media/E4_rBgwXIAIBU9U.jpg', 'https://pbs.twimg.com/media/E4_rBsLWUAEYwxv.jpg']",29,81,83,"['twitterban', 'bitcoin']",[],https://twitter.com/Crypto_dealer1/status/1409603625341575173,False,,1,https://pbs.twimg.com/media/E4_rBL3XEAMcR0J.jpg,,,,,,,[],,,,
1409602775911223296,1409584377915269120,2021-06-28 16:01:05 EDT,2021-06-28,16:01:05,-0500,20736511,nayibbukele,Nayib Bukele 🇸🇻,,"...aéreo, seguros, custodia, transporte y seguridad terrestre hacia las bóvedas, seguridad y administración de las bóvedas, distribución de ese dinero a los bancos, etc.  Sí, todo lo absorbe el Gobierno.  Lo mismo se hará con #bitcoin, solo que muchísimo más barato.",es,[],[],[],228,736,5156,['bitcoin'],[],https://twitter.com/nayibbukele/status/1409602775911223296,False,,0,,,,,,,,[],,,,
