 ,Time,User,Tweet
0,2020-03-09 23:59:59+00:00,bobotringan,"RT @spectatorindex: Coronavirus deaths

China: 3119
Italy: 463
Iran: 237
South Korea: 53
France: 30
Spain: 30
US: 22
Japan: 17
Iraq: 6
UK:…"
1,2020-03-09 23:59:59+00:00,CherokeeNative3,RT @hateGOP: The mob boss doesn't want an accurate count of the #coronavirus because it will make the stock market plummet. We can all get…
2,2020-03-09 23:59:59+00:00,one4REALchange,"@SenSchumer @JohnGunter2020 Rather than spend the weekend in Washington to get a grip on the #coronavirus  crisis,… https://t.co/SML0m9GWJx"
3,2020-03-09 23:59:59+00:00,cherrybaysb,RT @ChadPergram: Schumer: What was glaringly missing from President Trump’s press conference was how he is actually going to combat the spr…
4,2020-03-09 23:59:59+00:00,ToddlCorley,"RT @Amy_Siskind: Republicans under quarantine for coronavirus so far:

* Ted Cruz
* Paul Gosar
* Doug Collins 
* Matt Gaetz

Who said Mothe…"
5,2020-03-09 23:59:59+00:00,NorCalAntonio,"RT @jaketapper: All of Italy is in lockdown as coronavirus cases rise

https://t.co/pQi1gt8dIT"
6,2020-03-09 23:59:59+00:00,MaAlejandraDR,"RT @_DeLosRios_: Mi familia me acaba de avisar q mi primo hermano, amigo del paciente cero, dio positivo a la prueba #coronavirus, siendo e…"
7,2020-03-09 23:59:59+00:00,BadIdeasAreUs,"RT @mkraju: Asked Pelosi if she thinks Trump should be tested after his interactions with Doug Collins and Matt Gaetz. 
Pelosi: “Tested for…"
8,2020-03-09 23:59:59+00:00,steon2007,"RT @silviast9: 1/ I may be repeating myself, but I want to fight this sense of security that I see outside of the epicenters, as if nothing…"
9,2020-03-09 23:59:59+00:00,NoiSinEss,RT @CBSNews: Rumors spread on social media that snorting cocaine and drinking bleach can cure coronavirus – they can't https://t.co/91wkxgS…
10,2020-03-09 23:59:59+00:00,MalasKwatro,"RT @BernieSanders: Once a vaccine for coronavirus is developed, it should be free."
11,2020-03-09 23:59:59+00:00,lacher_white,"RT @BernieSanders: Once a vaccine for coronavirus is developed, it should be free."
12,2020-03-09 23:59:59+00:00,Vining40404,"RT @PalmerReport: Donald Trump's day so far:

- Trump may have just been exposed to coronavirus on Air Force One by Matt Gaetz
- Gaetz is n…"
13,2020-03-09 23:59:59+00:00,jtannenwald,"Here you go, @bruce_arthur:

Coronavirus: le Canadien ferme son vestiaire aux médias https://t.co/vi5BPZZ8pD via… https://t.co/yOKCAV3xiQ"
14,2020-03-09 23:59:59+00:00,AlexanC143,"RT @repubblica: Coronavirus, i giovani non sono immuni. Uno su cinque tra i positivi ha tra i 19 e i 50 anni https://t.co/NLbZM2poSC"
15,2020-03-09 23:59:59+00:00,avoidchaos,"RT @PalmerReport: Donald Trump’s day so far:

- Potentially exposed to coronavirus by Matt Gaetz
- Trump holds disastrous #Pressconference…"
16,2020-03-09 23:59:59+00:00,real_trump_news,"RT @Imm_Judges_NAIJ: EOIR has ordered immigration court staff to remove CDC posters designed to slow spread of coronavirus. 

No, this is n…"
17,2020-03-09 23:59:59+00:00,jcdl123,RT @Amon_Ra_: Coronavirus screening in the US
18,2020-03-09 23:59:59+00:00,SaeedDiCaprio,why mfs with the coronavirus going on a world tour bro stay your ass home lmfaooo
19,2020-03-09 23:59:59+00:00,SummitSheriffCO,"RT @GovofCO: The number one question I get is what Coloradans can do to protect themselves and keep safe from COVID-19. 

Here is what you…"
20,2020-03-09 23:59:59+00:00,marcusvandersli,"RT @SavRealm: the coronavirus has around 100k confirmed cases and about 60k ppl have recovered. There has been ~3,500 deaths from coronavir…"
21,2020-03-09 23:59:59+00:00,Eduardito141,Esto del coronavirus es tipo peliculas apocalípticas..
22,2020-03-09 23:59:59+00:00,SleepyChesh,RT @SweeneyABC: BREAKING: A D.C. priest has Coronavirus. He offered communion and shook hands with more than 500 worshippers last week and…
23,2020-03-09 23:59:59+00:00,Christian_G_10,RT @EdwardAr23: If you ever ate here you are immune from the coronavirus. https://t.co/KVdN2iGSun
24,2020-03-09 23:59:59+00:00,kiaraxcook,Does coronavirus cause explosive shits or something I don’t understand https://t.co/jhzN2SxykS
25,2020-03-09 23:59:59+00:00,ambinc1,"RT @RealSaavedra: Dr. Drew on the coronavirus: “Businesses are getting destroyed and people’s lives are being upended not by the virus, but…"
26,2020-03-09 23:59:59+00:00,_leahturay,"RT @ibemood: “Coronavirus cases has risen”

Me still catching flights this year: https://t.co/fK2y7NwvY9"
27,2020-03-09 23:59:59+00:00,RealAdamB1,"RT @thhamilton: France banning public gatherings of over 1,000 people to curb the spread of coronavirus but making an exemption for demonst…"
28,2020-03-09 23:59:59+00:00,EstaSucediendu,RT @GonzaloDjChaac: Y que dice @KarlaEnAccion @gblumel @sebastianpinera sobre esto? Impactante el nivel de violencia! Como las épocas más o…
29,2020-03-09 23:59:59+00:00,DredPirateJames,RT @HeidiNBC: Neither the CDC nor the coronavirus task force chaired by Pence would say who made the decision to forgo the WHO test that so…
30,2020-03-09 23:59:59+00:00,1916elisa,RT @HelenaVillarRT: Un cura de Washington D.C. que dio la mano y la comunión a más de 500 personas tiene el coronavirus. Han pedido a los f…
31,2020-03-09 23:59:59+00:00,Popenici,Two US lawmakers exposed to coronavirus before meeting Trump now in self-quarantine https://t.co/EpMa6a2ALj via @FRANCE24
32,2020-03-09 23:59:59+00:00,GabiD813,"RT @TatyNavarrete87: Volvieron las vallas a Casa Rosada...
El Riesgo País es el más alto desde 2005...
El 1er muerto de Coronavirus de Lati…"
33,2020-03-09 23:59:59+00:00,jmhamiltonblog,RT @GuardianUS: Coronavirus: Europeans warned to expect months of disruption https://t.co/kniKNdgsxO
34,2020-03-09 23:59:59+00:00,kazouille,"RT @FredericSays: Un premier cas de coronavirus au gouvernement : le ministre de la Culture a été dépisté positif, annonce l'AFP. Son cabin…"
35,2020-03-09 23:59:59+00:00,paisportatil,"RT @EfectoCocuyo: #SepaQue Sin epidemiólogo, sin laboratorios, sin tapabocas, sin agua y con una infraestructura deficiente recibieron los…"
36,2020-03-09 23:59:59+00:00,karel60524954,"RT @atheist_in_nc: I posted this a few weeks ago, but in light of coronavirus fears its worth a repost.

How effective is washing your hand…"
37,2020-03-09 23:59:59+00:00,RogelioDelgad0,"RT @lorenzocoronar: NO PASA NADA!!
@GobiernoMX 

EL CORONAVIRUS ARRASTRA LA CAIDA DE LAS BOLSAS DE VALORES EN EL MUNDO, EL PRECIO DEL PETRO…"
38,2020-03-09 23:59:59+00:00,pamcurtis4210,"RT @mikememoli: NEW: @JoeBiden to @Lawrence on Trump &amp; Coronavirus fallout. ""I wish he would just be quiet. I really mean it. That's an awf…"
39,2020-03-09 23:59:59+00:00,JohnFoderick,RT @SenSchumer: The best way to ensure economic security for the American people right now is for President Trump to deal with the coronavi…
40,2020-03-09 23:59:59+00:00,shelbyfierros,RT @iatemuggles: the coronavirus outbreak in Italy https://t.co/NsEt05y1pa
41,2020-03-09 23:59:59+00:00,BearInAlaska,"RT @BostonJerry: If you get Coronavirus, you need to miss work.

If you miss work in a retail/service job, you get fired.

If you get fired…"
42,2020-03-09 23:59:59+00:00,elnicoespinoza,"RT @LibardoBuitrago: “Italia ha dado este lunes un paso inédito en Europa para la contención del coronavirus de Wuhan, que ha puesto en jaq…"
43,2020-03-09 23:59:59+00:00,refrag,"RT @RachelDonadio: The same restrictions previously imposed on parts of n. Italy now extend to the whole country. NO public gatherings, no…"
44,2020-03-09 23:59:59+00:00,LuchoofN,"Se ponen la cinta en la boca, alto coronavirus les va a agarrar. https://t.co/tshq2TAKTE"
45,2020-03-09 23:59:59+00:00,CaraotaDigital,"#Coronavirus | Vamos a tener casos de coronavirus en #Venezuela «pase lo que pase», informó el Dr. Julio Castro https://t.co/S7HpXEyReV  .-"
46,2020-03-09 23:59:59+00:00,LisbethStein2,"RT @ChrisMurphyCT: Your daily reminder that:

a. Trump is using a provision of the Affordable Care Act to require that insurers cover the C…"
47,2020-03-09 23:59:59+00:00,NicaeaRossoNera,"RT @blogsicilia: Coronavirus, è caos nelle carceri, protesta nel penitenziario di Siracusa - https://t.co/ABEu9hPgC5 #blogsicilianotizie ht…"
48,2020-03-09 23:59:59+00:00,HRDNewZealand,Organisations should be thinking about their crisis management plans now https://t.co/h7V1hpVTqC
49,2020-03-09 23:59:59+00:00,emilesyman,"RT @funder: Trump took no questions at his press conference today, because he’s a coward who’s to blame for the stock market crashing and h…"
50,2020-03-09 23:59:59+00:00,VenezuelaSinLey,"RT @espaciopublico: #DenunciaEP | El Gobernador del estado #Zulia, Omar Prieto, ordena investigar y amenaza al Director de Posgrado de Medi…"
51,2020-03-09 23:59:59+00:00,Melina_Gee,RT @WHO: LIVE: Daily media briefing on #COVID19 with @DrTedros #coronavirus https://t.co/cN3WfNcsyd
52,2020-03-09 23:59:59+00:00,NE0_CODION,"RT @EcrisioFX: Le coronavirus : *se transmet par voie respiratoire*

Les dépressifs : https://t.co/xPaExuEopy"
53,2020-03-09 23:59:59+00:00,rodriguezma_16,RT @Mr_Batson: Lo del Beckman seguro fue por fibra de vidrio o algo así pero ahí va corriendo los medios y lo pendejos a repetir que fue po…
54,2020-03-09 23:59:59+00:00,jeromethegnome,"RT @ToryFibs: 2001: Foot &amp; Mouth led to the cancellation of Cheltenham Race Festival 

2020: Coronavirus spreading among human population &amp;…"
55,2020-03-09 23:59:59+00:00,jrholtz,"RT @guysdrinkinbeer: Attention brewers: 

We know you're trying to think of a clever Coronavirus/COVID name for your newest beer.

Don't.…"
56,2020-03-09 23:59:59+00:00,Monique00502881,"RT @ABC: Germany's first ""drive-in"" coronavirus testing center went into operation on Monday. https://t.co/ox0Gt0PJYs https://t.co/zUZ9IXqY…"
57,2020-03-09 23:59:59+00:00,mayuna83,RT @Meruanista: Vamos a morir todos de Coronavirus y nunca vamos a saber quien fue el que votó por Gonzalo Winter
58,2020-03-09 23:59:59+00:00,NunOliveira_23,RT @nunogois99: Já tou farto do Coronavirus Fdc
59,2020-03-09 23:59:59+00:00,digitalnative,"Should the Vulcan greeting replace the handshake in the coronavirus era?
https://t.co/PVWUWqcYrT"
60,2020-03-09 23:59:59+00:00,kayakkim11,"RT @Imm_Judges_NAIJ: EOIR has ordered immigration court staff to remove CDC posters designed to slow spread of coronavirus. 

No, this is n…"
61,2020-03-09 23:59:59+00:00,JwzRafiel,RT @brfootball: OFFICIAL: Serie A has been suspended due to the coronavirus outbreak https://t.co/h3NiwdmqQG
62,2020-03-09 23:59:58+00:00,datosvirus,"Cálculo del ratio entre fallecidos y grupo de ex-infectados (fallecidos+curados).
Este cálculo NO es la CFR (tasa a… https://t.co/w5e9L4RPip"
63,2020-03-09 23:59:58+00:00,BGramev68055257,RT @benjaminwittes: Is there a bigger corporate loser in the whole coronavirus debacle than the cruise industry? Taking nominations.
64,2020-03-09 23:59:58+00:00,hohnhill,"RT @jayrosen_nyu: In his newsletter @brianstelter says about Trump's visit to the CDC: ""Most of the news coverage of the visit downplayed j…"
65,2020-03-09 23:59:58+00:00,rayllaMFSalem,"Se todo mundo começar a estocar esses itens em casa vai faltar nas farmácias e nos supermercados, e aonde tiver, os… https://t.co/IvzecGynjU"
66,2020-03-09 23:59:58+00:00,RolaIngeniebria,Alguien que me explique porque @NoticiasCaracol es tan irresponsable  de decir que la caída de las bolsas es por el… https://t.co/TqJcvcVPqV
67,2020-03-09 23:59:58+00:00,carolfromindy,https://t.co/I46ZZcE5xp
68,2020-03-09 23:59:58+00:00,kumi2121,RT @theresonlyhere: コロナウイルスによる非常事態宣言が出ている世界最大の演劇都市ニューヨークですが、オンオフ合わせて４８のブロードウェイの劇場はすべて上演を続けています。これはアメリカ演劇大手サイトでの「劇場であなたをコロナウイルスから守るにはどうするか」と…
69,2020-03-09 23:59:58+00:00,Paulohpfelix1,RT @TorreySmithWR: Am I the only one that’s not that worried about the coronavirus?
70,2020-03-09 23:59:58+00:00,carsedward,RT @AlbertoRodNews: ÚLTIMA HORA | Tal Cual: Aislada paciente con sospecha de coronavirus en hospital Pérez Carreño de Caracas https://t.co/…
71,2020-03-09 23:59:58+00:00,GinaLawriw,"MLB, NBA, NHL, MLS to close locker rooms to the media over coronavirus concerns https://t.co/VgKfEtOID9 via @usatoday"
72,2020-03-09 23:59:58+00:00,WalkerMishelle,"RT @Mikel_Jollett: PEOPLE LISTEN:

On February 27th, Italy had 600 people infected with coronavirus.

Today, it has 10,000 cases and the en…"
73,2020-03-09 23:59:58+00:00,saturdelama,RT @drmariolama: URGENTE: OMS declara pandemia de COVID-19 por propagación mundial de coronavirus | https://t.co/IWSksOBoMe https://t.co/YR…
74,2020-03-09 23:59:58+00:00,LamonteDunlap,"RT @funder: Trump took no questions at his press conference today, because he’s a coward who’s to blame for the stock market crashing and h…"
75,2020-03-09 23:59:58+00:00,Rafabp2012,"RT @pmarsupia: Si tenemos el virus en las manos todavía no estamos infectados. El virus aún está fuera del cuerpo.

Pero con las manos sole…"
76,2020-03-09 23:59:58+00:00,nolamama2008,RT @Laurie_Garrett: A nursing home worker in Brooklyn has tested + for #COVID19 -- nursing homes and cruise ships are proving to be high ri…
77,2020-03-09 23:59:58+00:00,cindywue,"RT @kylegriffin1: Schumer: ""What was glaringly missing from President Trump's press conference was how he is actually going to combat the s…"
78,2020-03-09 23:59:58+00:00,JesusCorral19,"RT @tjcope: ⚽️ @AdriSanMiguel, en @partidazocope 

💪 ""En Liverpool, de tranquilidad, nada. Esto es Anfield""

🦠 ""No tengo ni idea de cómo sa…"
79,2020-03-09 23:59:58+00:00,agungdwimulya,"RT @piersmorgan: All of Italy is now in lockdown. 
We’re into completely unprecedented territory with this Coronavirus, yet still @BorisJoh…"
80,2020-03-09 23:59:58+00:00,zacbeholder,RT @elonmusk: The coronavirus panic is dumb
81,2020-03-09 23:59:58+00:00,ineesgarciia,"RT @bmechevarria: Ya sabemos quien ha sido la que ha soltado el coronavirus... 
#coronavirusEspana #COVID2019 https://t.co/ONXWYK3VQH"
82,2020-03-09 23:59:58+00:00,77Suzanne,"RT @AttorneyCrump: Matt Gaetz also walked into work with a gas mask last week to mock concerns about Corona Virus. Now, he has put himself…"
83,2020-03-09 23:59:58+00:00,heatherwhyte,"RT @OfficiallyAlly: I see a lot of people being like “I would survive the Coronavirus. I’m taking my chances.”

The way I see it, yeah. I’d…"
84,2020-03-09 23:59:58+00:00,subyroy,RT @subyroy: not an emergency #ChinaVirus #coronavirus (it did not seem to me to be one... PRC stopped some holidaying...)
85,2020-03-09 23:59:58+00:00,flitterbgibbet,"RT @MrTopStep: #ES Not supried by this at ALL!

 According to Bloomberg 500 of the world's richest people lost a combined $203 billion in t…"
86,2020-03-09 23:59:58+00:00,asturcona5,"RT @hondacbr100f: Se duplica en 24 h, el número de contagiados por coronavirus en Madrid. 
El Gobierno de España sigue sin tomar las medida…"
87,2020-03-09 23:59:58+00:00,salentoq,@darrenrovell So coronavirus has a mortality oh 3% and the flu of 0.009% according to your numbers ... so we indeed… https://t.co/ZTuPRZTsb7
88,2020-03-09 23:59:58+00:00,chris27795627,"RT @ValerioEsposito: This was sent to me by a friend from Naples, Italy. The “protezione civile” (civil protection service) has been sendin…"
89,2020-03-09 23:59:58+00:00,avifayala,"RT @millersoto: ¿De quién es esta lista de tareas?

1. Ignorar el Coronavirus e insinuar que el gobierno lo trajo.

2. Convocar a movilizac…"
90,2020-03-09 23:59:58+00:00,saxmanscott,"RT @carlquintanilla: “Why the United States declined to use the ⁦@WHO⁩ test, even temporarily as a bridge until the Centers for Disease Con…"
91,2020-03-09 23:59:58+00:00,SofiaTeresa20,"RT @FutbolHoyCol: Los partidos Sevilla-Roma y Olympiacos-Wolverhampton, en la ida de los octavos de final de la Liga Europa previstos para…"
92,2020-03-09 23:59:58+00:00,sharmaisk,"RT @spectatorindex: Coronavirus deaths

China: 3119
Italy: 463
Iran: 237
South Korea: 53
France: 30
Spain: 30
US: 22
Japan: 17
Iraq: 6
UK:…"
93,2020-03-09 23:59:58+00:00,125nm1,"RT @mkraju: Asked Pelosi if she thinks Trump should be tested after his interactions with Doug Collins and Matt Gaetz. 
Pelosi: “Tested for…"
94,2020-03-09 23:59:58+00:00,Yosunesm,"RT @nestorokjeda: El coronavirus debe ser canario, porque está dejando a los madrileños sin poder ir a la universidad"
95,2020-03-09 23:59:58+00:00,CaryHayes16,"RT @maziehirono: What’s one of the best ways to stop the spread of coronavirus? By washing your hands, not perpetuating racist stereotypes.…"
96,2020-03-09 23:59:58+00:00,albertfiochetti,"RT @OctavioCrivaro: Toda Italia confinada, escuelas y universidades cerradas en Cataluña por el #coronavirus. China parada. Crisis petroler…"
97,2020-03-09 23:59:58+00:00,shoroshoro,RT @daitojimari: へぇすごいね ■中国本土の新型ウイルス、湖北省以外では新たな市中感染なし https://t.co/7u30sNgRyS
98,2020-03-09 23:59:58+00:00,infinity_scout,"RT @abcnews: #BREAKING: Authorities say a man with coronavirus ignored instructions to self-isolate pending test results, instead working s…"
99,2020-03-09 23:59:58+00:00,Aviranetiano,"RT @erraticorunhes: La presidenta de Calabria, del partido de Berlusconi, q padece un cancer, advierte, con una sinceridad escalofriante, q…"
100,2020-03-09 23:59:58+00:00,SmhJan,RT @HeidiNBC: Neither the CDC nor the coronavirus task force chaired by Pence would say who made the decision to forgo the WHO test that so…
101,2020-03-09 23:59:58+00:00,oxoxstephXO,"RT @GHS: Today's #coronavirus recap: 

-110,029 #COVID19 cases globally &amp; 3,817 deaths 🌍

-93% of cases in 🇨🇳 🇮🇹 🇰🇷 🇮🇷

-All of Italy on lo…"
102,2020-03-09 23:59:58+00:00,suckingboss,sorry im asian but please don’t come up to me and make coronavirus jokes thanks👍
103,2020-03-09 23:59:58+00:00,PFrere11,RT @jeremiejanot: Espérons que tous ces gens qui se ruent sur les denrées non périssables alors qu'une maladie touche moins d'une personne…
104,2020-03-09 23:59:58+00:00,Kingcory666,The power of three will set us free from the Coronavirus.  @Alyssa_Milano
105,2020-03-09 23:59:58+00:00,Melissa89431446,"RT @jaketapper: 4 days after this tweet, Rep Gaetz is self-quarantining after being told he interacted at CPAC with someone who has tested…"
106,2020-03-09 23:59:58+00:00,centolicious,"Lol no, a payroll tax cut is not going to combat the Coronavirus."
107,2020-03-09 23:59:58+00:00,KennCase,RT @Caligalli: @Mikel_Jollett The good news is the White House just unveiled their plan to stop the #coronavirus https://t.co/8hDDn6M5rL
