id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1475977035956768773,1475977035956768773,2021-12-28 18:48:42 Eastern Standard Time,2021-12-28,18:48:42,-0500,1426204208,coinkite,Coinkite,,"We are hiring #Python &amp; other Engineers  Want to work with great people, have work life balance and ship things?  …and instead of silly never redeemable startup shares, we buy #Bitcoin when you join and then cliff schedule distribute it to you  Positions:  https://t.co/ax2ScUoYvu",en,[],['https://coinkite.com/careers'],[],7,29,90,"['python', 'bitcoin']",[],https://twitter.com/Coinkite/status/1475977035956768773,False,,0,,,,,,,,[],,,,
1475975905629687810,1475975905629687810,2021-12-28 18:44:12 Eastern Standard Time,2021-12-28,18:44:12,-0500,1216367173280681984,paradigmaedu,Paradigma Education,,"2021 termina VERDE para o #Bitcoin  É o 11° ano de alta, em 13 anos de história.  https://t.co/eoM7owEwJw",pt,[],[],['https://pbs.twimg.com/media/FHu4Qk5XEAMtoz0.jpg'],17,38,443,['bitcoin'],[],https://twitter.com/ParadigmaEdu/status/1475975905629687810,False,,1,https://pbs.twimg.com/media/FHu4Qk5XEAMtoz0.jpg,,,,,,,[],,,,
1475975364665040900,1475975364665040900,2021-12-28 18:42:03 Eastern Standard Time,2021-12-28,18:42:03,-0500,494704739,bitcoinmemehub,Bitcoin Meme Hub 🔞,,Hey @PeterSchiff it’s always great to see old boomers like you who are still hungry to get educated on #bitcoin by @saylor 👏😅  https://t.co/A4lQJtHfWn,en,"[{'screen_name': 'peterschiff', 'name': 'peter schiff', 'id': '56562803'}, {'screen_name': 'saylor', 'name': 'michael saylor⚡️', 'id': '244647486'}]",[],['https://pbs.twimg.com/media/FHu3xTqXEAQkc1W.jpg'],40,40,633,['bitcoin'],[],https://twitter.com/BitcoinMemeHub/status/1475975364665040900,False,,1,https://pbs.twimg.com/media/FHu3xTqXEAQkc1W.jpg,,,,,,,[],,,,
1475975329093091330,1475975329093091330,2021-12-28 18:41:55 Eastern Standard Time,2021-12-28,18:41:55,-0500,2856228978,secretsofcrypto,Secrets,,"These kind of pullbacks last a while during which #Altcoins usually get dumped worse than #Bitcoin. But if I'm right that this bull run is not over, it means there are some great buying opportunities out there. It's time to accumulate high quality projects again.",en,[],[],[],173,261,2133,"['altcoins', 'bitcoin']",[],https://twitter.com/SecretsOfCrypto/status/1475975329093091330,False,,0,,,,,,,,[],,,,
1475974964062871557,1475974964062871557,2021-12-28 18:40:28 Eastern Standard Time,2021-12-28,18:40:28,-0500,129935623,bigcheds,Cheds,,$BTC #Bitcoin high time frame bull thesis 📌  Weekly Ascending triangle with measured move to 100k 🎯  “A true chart technician can articulate both the bearish and bullish thesis - no blind spots “  https://t.co/TPMbYltZ6c,en,[],[],['https://pbs.twimg.com/media/FHu3UCKXoAIDqpw.jpg'],88,83,843,['bitcoin'],['btc'],https://twitter.com/BigCheds/status/1475974964062871557,False,,1,https://pbs.twimg.com/media/FHu3UCKXoAIDqpw.jpg,,,,,,,[],,,,
1475974590522445824,1475974590522445824,2021-12-28 18:38:59 Eastern Standard Time,2021-12-28,18:38:59,-0500,1270906326823186432,wclementeiii,Will Clemente,,Retail interest in Bitcoin is pretty much gone since the Spring.  Big boys running the show now.  https://t.co/ufs6xxeB1Q,en,[],[],"['https://pbs.twimg.com/media/FHu1a3lXEAIXefr.jpg', 'https://pbs.twimg.com/media/FHu1bzmXoAIsNww.jpg', 'https://pbs.twimg.com/media/FHu12TPX0AECZkL.jpg', 'https://pbs.twimg.com/media/FHu166iWUAAoaja.jpg']",744,1063,7692,[],[],https://twitter.com/WClementeIII/status/1475974590522445824,False,,1,https://pbs.twimg.com/media/FHu1a3lXEAIXefr.jpg,,,,,,,[],,,,
1475974459492343812,1475974459492343812,2021-12-28 18:38:28 Eastern Standard Time,2021-12-28,18:38:28,-0500,1452639482902204434,imperativomoral,Imperativo Moral,,Bitcoin é a solução para os títulos de dívida – Greg Fross  https://t.co/IwcrQZoU5b,pt,[],[],[],1,22,73,[],[],https://twitter.com/imperativomoral/status/1475974459492343812,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1475974377032364032/pu/img/RfHA7Nt7jrSV2AJM.jpg,,,,,,,[],,,,
1475973942007545862,1475973942007545862,2021-12-28 18:36:24 Eastern Standard Time,2021-12-28,18:36:24,-0500,129935623,bigcheds,Cheds,,"$BTC #Bitcoin high time frame bear thesis 📌  Head and shoulders top with measured move to 200 MA around $18,000 🎯  “A true chart technician can articulate both the bearish and bullish thesis - no blind spots “ 👀  https://t.co/XlewrUhAJ8",en,[],[],['https://pbs.twimg.com/media/FHu2MIeXwAY8yNx.jpg'],130,68,645,['bitcoin'],['btc'],https://twitter.com/BigCheds/status/1475973942007545862,False,,1,https://pbs.twimg.com/media/FHu2MIeXwAY8yNx.jpg,,,,,,,[],,,,
1475973587928555525,1475973587928555525,2021-12-28 18:35:00 Eastern Standard Time,2021-12-28,18:35:00,-0500,1387497871751196672,watcherguru,Watcher.Guru,,JUST IN: Fox Business featured the most popular #cryptocurrency of 2021:   • #Bitcoin  • #Dogecoin  • #Ethereum  • #SafeMoon  • #Shib  • #XRP  https://t.co/yzIDp1jOal,en,[],[],['https://pbs.twimg.com/media/FHu2BfkVgAEquik.jpg'],970,1211,3775,"['cryptocurrency', 'bitcoin', 'dogecoin', 'ethereum', 'safemoon', 'shib', 'xrp']",[],https://twitter.com/WatcherGuru/status/1475973587928555525,False,,1,https://pbs.twimg.com/media/FHu2BfkVgAEquik.jpg,,,,,,,[],,,,
1475971631763705856,1475971631763705856,2021-12-28 18:27:13 Eastern Standard Time,2021-12-28,18:27:13,-0500,357312062,bitcoin,Bitcoin,,Got #Bitcoin?  https://t.co/R6uajUKJJ5,und,[],[],['https://pbs.twimg.com/media/FHu0WG0VEAADYpO.jpg'],314,276,1854,['bitcoin'],[],https://twitter.com/Bitcoin/status/1475971631763705856,False,,1,https://pbs.twimg.com/media/FHu0WG0VEAADYpO.jpg,,,,,,,[],,,,
1475970156459266051,1475970156459266051,2021-12-28 18:21:22 Eastern Standard Time,2021-12-28,18:21:22,-0500,366498199,diopfode,Fodé Diop ⚡️,,Set a reminder for my upcoming Space with @GloireKW Bitcoin + Lightning en Afrique Francophone ⚡   https://t.co/1FWu59ZUue,en,"[{'screen_name': 'gloirekw', 'name': 'gloire 🇨🇩 🇷🇼 🇺🇬', 'id': '965861060271108102'}]",['https://twitter.com/i/spaces/1LyGBoYgBvjJN'],[],4,15,44,[],[],https://twitter.com/diopfode/status/1475970156459266051,False,,0,,,,,,,,[],,,,
1475969909469368323,1475969909469368323,2021-12-28 18:20:23 Eastern Standard Time,2021-12-28,18:20:23,-0500,1652541,reuters,Reuters,,"Bitcoin falls 6.1 percent to $47,607  https://t.co/GAGKKQw1g7  https://t.co/3nFhod4syP",en,[],['http://reut.rs/3EAuVu7'],['https://pbs.twimg.com/media/FHuyz6qXwAQPPmK.jpg'],22,32,68,[],[],https://twitter.com/Reuters/status/1475969909469368323,False,,1,https://pbs.twimg.com/media/FHuyz6qXwAQPPmK.jpg,,,,,,,[],,,,
1475968698787766277,1475968698787766277,2021-12-28 18:15:34 Eastern Standard Time,2021-12-28,18:15:34,-0500,40129171,schuldensuehner,Holger Zschaepitz,,"#Bitcoin slide deepens, extending worst monthly selloff since May. Fell as much as 7.2% on Tuesday to trade below its 200d MA. Bitcoin has moved in tandem w/riskier assets though that pattern looks to be breaking down in Dec. Bitcoin down 17% MTD while Nasdaq 100 up 2.2% MTD.  https://t.co/kTjYRCncdp",en,[],[],['https://pbs.twimg.com/media/FHuxq5lWYAI0ZoG.png'],24,77,251,['bitcoin'],[],https://twitter.com/Schuldensuehner/status/1475968698787766277,False,,1,https://pbs.twimg.com/media/FHuxq5lWYAI0ZoG.png,,,,,,,[],,,,
1475968673957302273,1475968673957302273,2021-12-28 18:15:28 Eastern Standard Time,2021-12-28,18:15:28,-0500,715730907362115588,hfangca,Hong Fang (Okcoin),,ICYM: Do you know that @Okcoin has enabled #taproot support for #bitcoin withdrawal?,en,"[{'screen_name': 'okcoin', 'name': 'okcoin', 'id': '2445396642'}]",[],[],20,19,208,"['taproot', 'bitcoin']",[],https://twitter.com/hfangca/status/1475968673957302273,False,https://twitter.com/Okcoin/status/1471563103049756672,0,,,,,,,,[],,,,
