,Time,User,Retweets,Likes,Tweet
0,2022-03-12 17:36:45+00:00,danheld,3165,16661,"b'US Department of Defense: *Burns 4.6B gallons of fuel annually*\n\nMedia: ""Bitcoin\'s carbon footprint is a major issu\xe2\x80\xa6 https://t.co/5g7KTQ1nhz'"
1,2022-03-12 17:06:14+00:00,WatcherGuru,717,5186,b'JUST IN: #Bitcoin exchange reserves have dropped to their lowest level in 3 years.'
2,2022-03-12 21:08:32+00:00,nntaleb,951,6268,"b'So the same pple who believe that Trump won the election, weightlifting combined with hydroxychloroquine, cures Cov\xe2\x80\xa6 https://t.co/68bMV5r0nJ'"
3,2022-03-12 14:33:42+00:00,cameron,718,4133,"b'The church had a monopoly on thought, then came the printing press.\n\nThe government had a monopoly on money, then came bitcoin.'"
4,2022-03-12 17:13:59+00:00,BitcoinMagazine,934,5125,b'Banks will freeze your money when they disagree with you.\n\n#Bitcoin fixes this.'
5,2022-03-12 21:04:38+00:00,BitcoinMagazine,1500,9912,b'A #Bitcoin bar in the capital of Hungary \xf0\x9f\x87\xad\xf0\x9f\x87\xba https://t.co/rcaI4RUrci'
6,2022-03-12 18:06:36+00:00,Davincij15,930,6652,"b'When you buy #Bitcoin today no one will talk about how you got 39k and not 33k when it\xe2\x80\x99s $1,000,000!!'"
7,2022-03-12 14:49:56+00:00,saylor,1245,10919,b'#Bitcoin is scarce understood.'
8,2022-03-12 14:33:04+00:00,DarinFeinstein,560,1745,"b'The EU PoW ban protects legacy dynasties at the expense of innovation, individual liberty and is a move toward tota\xe2\x80\xa6 https://t.co/9fjMPmn9aq'"
9,2022-03-12 17:37:08+00:00,FEGtoken,409,1103,b'Another well written piece around the new #FEGex Beta UI dropping today! \n\nhttps://t.co/zFRtnDQJgT\n\n@YahooFinance\xe2\x80\xa6 https://t.co/CHKl3cWmvP'
10,2022-03-12 20:24:15+00:00,Eljaboom,431,487,b'Are you are Bitcoin person \nAltcoin ? Or NFT?\n\nBitcoin       Altcoin          NFT\n  \xf0\x9f\x91\x87                 \xf0\x9f\x91\x87               \xf0\x9f\x91\x87'
11,2022-03-12 20:44:31+00:00,mcshane_writes,530,4470,"b'NEW: ""Banning digital property would be a trillion dollar mistake."" - MicroStrategy CEO on #Bitcoin https://t.co/qSO7qspHqU'"
12,2022-03-12 23:11:38+00:00,Jayecane,473,524,"b'rt + post your cashapp, PayPal, Bitcoin, Gcash , bep20'"
13,2022-03-12 15:24:57+00:00,BitcoinMagazine,524,3839,b'#Bitcoin can\xe2\x80\x99t be cancelled \xe2\x9c\x8a'
14,2022-03-12 21:20:48+00:00,Eljaboom,364,554,b'Describe bitcoin in one word \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87'
15,2022-03-12 17:36:45+00:00,danheld,3165,16661,"b'US Department of Defense: *Burns 4.6B gallons of fuel annually*\n\nMedia: ""Bitcoin\'s carbon footprint is a major issu\xe2\x80\xa6 https://t.co/5g7KTQ1nhz'"
16,2022-03-12 17:06:14+00:00,WatcherGuru,717,5186,b'JUST IN: #Bitcoin exchange reserves have dropped to their lowest level in 3 years.'
17,2022-03-12 21:08:32+00:00,nntaleb,951,6268,"b'So the same pple who believe that Trump won the election, weightlifting combined with hydroxychloroquine, cures Cov\xe2\x80\xa6 https://t.co/68bMV5r0nJ'"
18,2022-03-13 17:10:59+00:00,BitcoinMagazine,755,5208,"b'\xe2\x80\x9c#Bitcoin mining is the cleanest, most efficient use of energy in the world.\xe2\x80\x9d \xe2\x80\x94 MicroStrategy CEO \xf0\x9f\x99\x8c'"
19,2022-03-13 13:33:34+00:00,BitcoinMagazine,764,5370,b'\xe2\x80\x9cBanning digital property would be a trillion dollar mistake.\xe2\x80\x9d - MicroStrategy CEO on #Bitcoin \xf0\x9f\x91\x8f'
20,2022-03-12 14:33:42+00:00,cameron,718,4133,"b'The church had a monopoly on thought, then came the printing press.\n\nThe government had a monopoly on money, then came bitcoin.'"
