,Time,User,Retweets,Likes,Tweet
0,2022-01-07 16:40:41+00:00,MapleLeafs,217,1081,b'The Maple Leafs have placed forwards Pierre Engvall and Mitch Marner into the NHL\xe2\x80\x99s COVID-19 protocol.\n\xc2\xa0\nForwards J\xe2\x80\xa6 https://t.co/aajf709p86'
1,2022-01-07 17:12:00+00:00,jonassiegel,20,182,b'New lines for the Leafs with Mitch Marner and Pierre Engvall in protocol:\n\nBunting \xe2\x80\x94 Matthews \xe2\x80\x94 Kerfoot\nMikheyev \xe2\x80\x94\xe2\x80\xa6 https://t.co/kSsJQx8bKY'
2,2022-01-07 16:44:27+00:00,jonassiegel,19,295,"b""Nick Ritchie is joining the Leafs at practice today. Appears he'll stick around -- with Mitch Marner and Pierre Eng\xe2\x80\xa6 https://t.co/W9HPasCiIm"""
3,2022-01-07 16:07:56+00:00,lukefoxjukebox,27,362,"b""Here's the logo for the Maple Leafs\xe2\x80\x93Sabres Heritage Classic, scheduled for March in Hamilton. https://t.co/fonbieWeuY"""
4,2022-01-08 17:51:37+00:00,lukefoxjukebox,17,126,"b'Maple Leafs lines tonight in Colorado with Marner, Kase and Engvall out:\n\nBunting-Matthews-Kerfoot\nMikheyev-Tavares\xe2\x80\xa6 https://t.co/SPFwRHqXqM'"
5,2022-01-07 18:44:33+00:00,jonassiegel,17,547,b'Sheldon Keefe says Jack Campbell will start again for the Leafs tomorrow night in Colorado.'
6,2022-01-07 18:32:35+00:00,JClipperton_CP,15,47,b'Sheldon Keefe says Mitch Marner and Pierre Engvall are experiencing minor symptoms after testing positive for COVID-19. #Leafs'
7,2022-01-06 19:55:19+00:00,koshtorontosun,19,280,b'Nick Ritchie on waivers (and then to taxi squad if he is not claimed) a business move on the part of the #Leafs. De\xe2\x80\xa6 https://t.co/w2h3hjBCrc'
8,2022-01-08 16:55:50+00:00,Proteautype,4,8,"b'I also wrote yesterday for Full Press. This piece is on the Toronto Maple Leafs, and the high quality of hockey the\xe2\x80\xa6 https://t.co/uoZ1heqwwT'"
9,2022-01-08 18:05:35+00:00,Bob_Stauffer,5,42,b'36 years ago today...\nWayne Gretzky had 3-3-6 and Jari Kurri added 1-5-6...\nBut the @EdmontonOilers lose 11-9 to th\xe2\x80\xa6 https://t.co/7BtjVh1oO6'
10,2022-01-06 02:40:02+00:00,MapleLeafs,324,2056,b'LEAFS WIN!!\n\nKept it rollin\xe2\x80\x99 to start off the year! #LeafsForever https://t.co/JZldt4oCvE'
11,2022-01-02 02:38:51+00:00,MapleLeafs,431,2720,b'LEAFS WIN!!\n\nStarting the new year in the win column! #LeafsForever https://t.co/oq6a7paX9L'
12,2022-01-08 16:49:15+00:00,NHLdotcom,5,54,b'The Avalanche will look to set a team record by winning their 11th straight home game when they host the Maple Leaf\xe2\x80\xa6 https://t.co/o0aGfDv2LH'
13,2022-01-06 17:51:46+00:00,koshtorontosun,21,388,"b""William Nylander's run during the past dozen games (8+11) has brought him to 12th in NHL scoring. He was 46th when\xe2\x80\xa6 https://t.co/C312yQrVXY"""
14,2022-01-08 18:11:55+00:00,Avalanche,5,133,b'Another night on home ice. \n\n#GoAvsGo \nhttps://t.co/ZxfLX7l1wx'
